"enrollment","scenario","pmp","ind1.rr0","ind1.rr1","ind2.rr0","ind2.rr1","ind3.rr0","ind3.rr1","ind4.rr0","ind4.rr1","PE.pm1","PE.pm2","PE.pm3","PE.pm4","PE.pp1","PE.pp2","PE.pp3","PE.pp4","HT.eff1","HT.eff2","HT.eff3","HT.eff4","HT.fut1","HT.fut2","HT.fut3","HT.fut4","HT.ind1","HT.ind2","HT.ind3","HT.ind4","HT.fwer","HT.ncr","SS.ave1","SS.ave2","SS.ave3","SS.ave4","SS.med1","SS.med2","SS.med3","SS.med4","SS.min1","SS.min2","SS.min3","SS.min4","SS.max1","SS.max2","SS.max3","SS.max4","DR.ave1","DR.ave2","DR.ave3","DR.ave4","DR.med1","DR.med2","DR.med3","DR.med4","DR.min1","DR.min2","DR.min3","DR.min4","DR.max1","DR.max2","DR.max3","DR.max4"
1,1,1,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.032799492197935,0.0322696588454535,0.0324125219784191,0.0324800934968662,0.575678841400035,0.573912271115935,0.574511780227621,0.574315764496504,0.0255,0.0254,0.02522,0.02547,0.39627,0.39744,0.39823,0.39939,0.57823,0.57716,0.57655,0.57514,0.09802,0,55.89936,55.90192,55.89726,55.87322,58,58,58,58,29,29,29,29,58,58,58,58,37.550091633701,37.5500868623984,37.5608317181826,37.5698167631365,37.3589233176263,37.362173803402,37.371781669761,37.3767979163376,20.1133375140473,21.7249835489952,22.6580466229693,22.8395460884176,58.7184816218856,63.3807348218751,58.2743816530912,62.9526686426829
1,1,2,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.00271694189732511,0.002436200542731,0.00221155348015393,0.00248995481531052,0.504488778822744,0.503747175013847,0.502930157741793,0.503984878533225,0.00467,0.00453,0.00408,0.00428,0.48806,0.49107,0.4908,0.48876,0.50727,0.5044,0.50512,0.50696,0.01713,0,55.35503,55.34904,55.34985,55.35107,58,58,58,58,29,29,29,29,58,58,58,58,37.5620660071419,37.5645220535928,37.5936385478657,37.5808909905837,37.3583035619082,37.3779895996306,37.3984098684426,37.3991197540813,21.6594217715677,21.8062691254028,22.2810492689832,22.2199897104904,61.930154151844,59.0340221468231,63.778416902163,61.5150534959862
1,1,3,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0340154029534551,0.0345086725846172,0.034335408156391,0.0348034807391921,0.578611025577117,0.579942597211274,0.579647274390429,0.581054781123445,0.0273,0.0277,0.0275,0.02791,0.39526,0.39175,0.39179,0.39111,0.57744,0.58055,0.58071,0.58098,0.10536,0,55.89768,55.92396,55.92385,55.93059,58,58,58,58,29,29,29,29,58,58,58,58,37.5930451528069,37.5440369359348,37.5698454432523,37.5701067165861,37.3955142829688,37.3580445545107,37.3715744076054,37.3860298101493,21.7165129074928,22.0410898514925,21.8814630667977,21.4762729259343,61.5812109109884,59.2836772969506,59.3339822043518,59.9464476620819
1,1,4,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0210812136947025,0.0210970322133931,0.0207679084615397,0.0207541196295434,0.545471926201947,0.545788235428142,0.544521715257109,0.544605526913038,0.01567,0.01547,0.01518,0.01563,0.43393,0.43507,0.44187,0.43803,0.5504,0.54946,0.54295,0.54634,0.06059,0,55.69004,55.67285,55.62932,55.67232,58,58,58,58,29,29,29,29,58,58,58,58,37.5209818773082,37.54525070763,37.6034927778397,37.5548717516587,37.3226459337546,37.3412882390419,37.4009046683659,37.3592892983897,21.8799766548192,19.932970588906,22.2879756401291,22.0615920221594,60.8059595246374,58.3061879270575,60.273349307796,60.4654533283954
1,1,5,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,-0.0040652905315139,-0.00367229489326958,-0.00311023513794825,-0.00300761775767485,0.49113244479048,0.492378839993861,0.493456189029165,0.49400884813955,0.02972,0.02949,0.03041,0.03151,0.47087,0.4678,0.46587,0.46602,0.49941,0.50271,0.50372,0.50247,0.11582,0,55.45284,55.4661,55.47935,55.46725,58,58,58,58,29,29,29,29,58,58,58,58,37.5610604461392,37.5640856525749,37.5426592051973,37.55983271112,37.3739649681462,37.3845218150373,37.3495811272596,37.3669510816451,21.600721799979,21.2843783241044,21.4020996495512,21.0591398163838,59.3616636321688,60.4792552777964,60.4614443575316,58.5084557460169
1,1,6,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,-0.00344010785070404,-0.00371915798507139,-0.003662269080635,-0.00281011574103819,0.49314367029187,0.492175214236159,0.492146394293305,0.494633914522284,0.10109,0.0997,0.10079,0.10347,0.46777,0.47014,0.46796,0.4665,0.43114,0.43016,0.43125,0.43003,0.34812,0,55.44782,55.46072,55.47256,55.46336,58,58,58,58,29,29,29,29,58,58,58,58,37.5666547556514,37.5614984550944,37.5411626860177,37.5481091474037,37.3673701862767,37.3756075067902,37.3471508627785,37.354183078476,22.8216782797588,19.0906213642152,20.8270186067153,21.8240413631508,60.7474604250063,59.9288418720462,59.9133103178065,60.3317756553455
1,2,1,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.5,0.032764362237035,0.0329721004839513,0.0328092691576861,0.257987667161327,0.575613344888342,0.576165614232793,0.575343527366837,0.976795571493041,0.0254,0.02492,0.02572,0.80043,0.39844,0.39701,0.39581,0.00556,0.57616,0.57807,0.57847,0.19401,0.07407,0.80043,55.89482,55.90372,55.91986,57.96425,58,58,58,58,29,29,29,29,58,58,58,58,37.5480825885341,37.5457601867161,37.5518447416721,37.5637920070808,37.3592586260299,37.3541624117787,37.3481466718676,37.3916453686993,22.3203940849329,22.5662511446791,21.0094829385939,21.9757998449999,59.5633704257509,58.483018675668,58.9297267925264,64.8684001023791
1,2,2,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.5,0.0112555320242206,0.0108561772364907,0.0110172544520726,0.197589406623073,0.524400191255868,0.522813060319184,0.523549613299324,0.92627604509391,0.01083,0.01044,0.0111,0.4893,0.4627,0.46585,0.46525,0.02668,0.52647,0.52371,0.52365,0.48402,0.02871,0.4893,55.51473,55.48927,55.50378,57.82926,58,58,58,58,29,29,29,29,58,58,58,58,37.5543195683357,37.5695243959637,37.5656800052885,37.5568059704463,37.3525997521241,37.3690629262983,37.3949677701073,37.3775103340932,22.9188276741835,22.1602045051462,19.7146930480413,22.2986236875006,58.3967579749606,61.2463735150672,62.540578423869,59.846503632812
1,2,3,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.5,0.0362821688755314,0.0360901830223346,0.036156501507557,0.258105933674392,0.585381892204481,0.584565594384367,0.584690690749686,0.977370910834861,0.03025,0.03057,0.0304,0.80782,0.38423,0.38456,0.38463,0.00512,0.58552,0.58487,0.58497,0.18706,0.08569,0.80782,55.96068,55.9621,55.97529,57.96519,58,58,58,58,29,29,29,29,58,58,58,58,37.5685807961911,37.5574845781515,37.5579769389376,37.5373779966565,37.3615149272713,37.3606019140094,37.3694986023274,37.3509852378288,23.1177825604483,20.9814852871578,21.5137245908412,22.1148754207244,60.4120701150644,60.6234319090468,58.8941747828016,58.9141384122586
1,2,4,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.5,0.0206981050684302,0.0211263301759426,0.0206307341733742,0.249342217183844,0.54421917222446,0.545644599053306,0.544425455762022,0.967128268177393,0.01591,0.01673,0.01484,0.73896,0.43492,0.43647,0.43567,0.00914,0.54917,0.5468,0.54949,0.2519,0.04676,0.73896,55.67028,55.66991,55.66996,57.93952,58,58,58,58,29,29,29,30,58,58,58,58,37.5688741007751,37.5693596119447,37.5822952612782,37.569817536351,37.3828219876161,37.3883255693435,37.3935039284339,37.3618858301346,21.4798095506267,22.3571909217799,22.2548518262318,21.805341547197,60.9245744073021,60.740845329282,62.2619066476034,61.0778452535776
1,2,5,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.5,-0.00345320909674831,-0.00335724890398081,-0.00352283799006149,0.268045502483898,0.492455549728536,0.493127375141221,0.492613070286807,0.935845604648881,0.03078,0.03088,0.03036,0.59306,0.4712,0.46902,0.46592,0.03043,0.49802,0.5001,0.50372,0.37651,0.08904,0.59306,55.45328,55.45863,55.47425,57.80372,58,58,58,58,29,29,29,29,58,58,58,58,37.5650604183014,37.5602449314108,37.5229972711485,37.5503641087516,37.3971425711166,37.3725035459766,37.3240989591889,37.3458916498164,20.6098010319213,21.86575533284,22.6427119715682,21.6964126302968,61.1033980108417,58.6241493846598,60.786465699856,60.2895965577784
1,2,6,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.5,-0.00349860022460499,-0.00315109322465548,-0.00340334368620424,0.267569551357,0.492790920172744,0.493859160322639,0.49272842744359,0.935941824277604,0.10237,0.10085,0.09925,0.80042,0.46669,0.46521,0.46744,0.03123,0.43094,0.43394,0.43331,0.16835,0.27331,0.80042,55.46211,55.49325,55.46234,57.80111,58,58,58,58,29,29,29,29,58,58,58,58,37.5727418621883,37.5372462085535,37.5579580696298,37.5799281184735,37.3746512292916,37.3496864989581,37.3684533196087,37.3870673897596,21.9953937409021,22.5518894878049,22.3726932682635,22.2007923549946,60.4623346009027,59.7748994592513,59.6064629830286,62.2101495860931
